Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Family,Prey Species,Abundance,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
74,03-02-2018,,HSMT06-17,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,2,9.2,2.1,2.7,15,,,TG IMG 195608315,Malvan,Max girth an underestimate
75,03-02-2018,,HSMT06-17,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,2,9.6,2.3,3,20,,,TG IMG 195720801,Malvan,Max girth an underestimate
76,04-02-2018,,HSDB 95-96,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,Yes,3,7.9,3,3.5,13,,,TG IMG 104646504,Malvan,Half fish
77,04-02-2018,,HSDB 95-96,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,,3,12.9,2.6,2.8,12,,,TG IMG 104646504,Malvan,Max girth an underestimate
78,06-02-2018,HSDB101,HSDB101,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,4,,,,9,,,SD IMG 202938,Malvan,
79,07-02-2018,HCDB09,HCDB09,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,3,,3.638,3.236,8,,,SD IMG 162454,Malvan,
80,07-02-2018,HSDB105,HSDB105,Gut content,Hydrophis schistosus,Lizard fish?,Synodontidae,Unidentified,,,,3,,,,,,,CR IMG 2980,Malvan,
81,07-02-2018,HCDB10,HCDB10,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,5,,,,,,,CR IMG 2992,Malvan,
82,08-02-2018,HCDB11,HCDB11,Gut content,Hydrophis curtus,Scad,Carangidae,Alepes sp.,,,,3,,,,,,,No,Malvan,
83,08-02-2018,HCDB12,HCDB12,Gut content,Hydrophis curtus,Anchove,Engraulidae,Unidentified,,,Yes,3,,3.5,3.7,7,,,SD IMG 184058,Malvan,
84,10-02-2018,,GCMT01,Trawler,,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,11.8,2.6,4,51,15,28.05,No,Malvan,
85,10-02-2018,,GCMT02,Trawler,,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,9,2.1,2.9,16,15,28.05,No,Malvan,
