"","Date","Boat.name","Gear.Type","Fishing.Location","Depth.m","effort","lat","lon"
"208","26-04-2019","4e43e23a","Trawler","Kavada Rock",35.53,6,16.1012464,73.28125
"209","26-04-2019","a08a9a75","GillNet","Tarkarli",7.48,2,16.0370463,73.4645833333333
"210","27-04-2019","7d50df84","GillNet","Wayari",9.35,1,16.0465772,73.4520833333333
"211","27-04-2019","14b7cc1a","GillNet","Devbag",9.35,1,16.029932,73.4604166666667
"212","28-04-2019","77dae807","GillNet","Wayari",18.7,0.25,16.0465772,73.41875
"213","28-04-2019","53dc7269","GillNet","Aachara",14.96,1,16.190837,73.4020833333333
"214","28-04-2019","20104abe","GillNet","Devbag",5.61,2,16.029932,73.4354166666667
"215","28-04-2019","90ab1b0e","GillNet","Wayari",9.35,0.25,16.0465772,73.4520833333333
"216","30-04-2019","c8f67792","Trawler","Vengurla",24.31,24,15.8514136,73.4645833333333
"217","30-04-2019","4e43e23a","Trawler","Aachara",28.05,18,16.190837,73.3395833333333
"218","01-05-2019","7d50df84","Trawler","Kochare",28.05,12,15.9539606,73.3729166666667
"219","01-05-2019","8010e7d9","Trawler","Aachara",29.92,18,16.190837,73.33125
"220","03-05-2019","9cd2e656","Trawler","Juva Pankhol",29.92,48,16.1120596,73.29375
"221","03-05-2019","77dae807","Trawler","Devgad",18.7,18,16.3754203,73.3354166666667
"222","05-05-2019","00f20ffe","Trawler","Devgad",41.14,32,16.3754203,73.18125
"223","05-05-2019","9dbed04c","Trawler","Devgad",37.4,27,16.3754203,73.2020833333333
"224","07-05-2019","8ba4e0d2","Trawler","Juva Pankhol",56.1,18,16.1120596,73.15625
"225","09-05-2019","6070bb76","Trawler","Juva Pankhol",26.18,36,16.1120596,73.3604166666667
"226","09-05-2019","631ac303","Trawler","Malvan",28.05,18,16.0630693,73.3479166666667
"227","01.04.18","e8ca6379","Trawler","Malvan",24.31,9,16.0630693,73.3854166666667
"228","01.04.18","98b01671","Trawler","Vengurla",28.985,18,15.8514136,73.4354166666667
"229","02.05.18","e8ca6379","Trawler","Aachara",32.725,18,16.190837,73.2395833333333
"230","02.05.18","98b01671","Trawler","Malvan",15.895,18,16.0630693,73.43125
"231","03.04.18","8ba4e0d2","Trawler","Malvan",18.7,9,16.0630693,73.4104166666667
"232","05.04.18","e8ca6379","Trawler","Malvan",18.7,9,16.0630693,73.4104166666667
"233","05.04.18","98b01671","Trawler","Aachara",19.635,18,16.190837,73.3854166666667
"234","06.03.18","98b01671","Trawler","Malvan",28.985,18,16.0630693,73.34375
"235","07.03.18","8ba4e0d2","Trawler","Tondavali",14.96,18,16.1646075,73.3979166666667
"236","08.03.18","98b01671","Trawler","Devgad",22.44,18,16.3754203,73.30625
"237","08.04.18","8ba4e0d2","Trawler","Vengurla",74.8,18,15.8514136,73.0979166666667
"238","09.03.18","98b01671","Trawler","Malvan",28.985,27,16.0630693,73.34375
"239","09.03.18","e8ca6379","Trawler","Malvan",27.115,27,16.0630693,73.35625
"240","09.03.18","8ba4e0d2","Trawler","Malvan",37.4,18,16.0630693,73.28125
"241","09.05.18","e8ca6379","Trawler","Malvan",32.725,18,16.0630693,73.3354166666667
"242","09.05.18","98b01671","Trawler","Devgad",15.895,18,16.3754203,72.1145833333333
"243","10.03.18","e8ca6379","Trawler","Devbag",30.855,9,16.029932,73.3520833333333
"244","10.03.18","8ba4e0d2","Trawler","Devgad",30.855,18,16.3754203,73.24375
"245","10.05.18","8ba4e0d2","Trawler","Aachara",28.05,18,16.190837,73.3395833333333
"246","10.05.18","e8ca6379","Trawler","Malvan",18.7,9,16.0630693,73.4104166666667
"247","11.03.18","8ba4e0d2","Trawler","Malvan",37.4,18,16.0630693,73.28125
"248","11.03.18","e8ca6379","Trawler","Aachara",28.05,18,16.190837,73.3395833333333
"249","11.03.18","98b01671","Trawler","Mithbav",19.635,18,16.2906505,73.35625
"250","12.03.18","8ba4e0d2","Trawler","Malvan",22.44,9,16.0630693,73.3895833333333
"251","12.03.18","98b01671","Trawler","Malvan",28.985,18,16.0630693,73.34375
"252","12.05.18","8ba4e0d2","Trawler","Aachara",25.245,18,16.190837,73.3520833333333
"253","12.05.18","e8ca6379","Trawler","Malvan",29.92,18,16.0630693,73.3395833333333
"254","12.11.18","fb15c143","Trawler","Juva Pankhol",20.57,9,16.1120596,73.3979166666667
"255","14.03.18","98b01671","Trawler","Devgad",37.4,18,16.3754203,73.2020833333333
"256","14.03.18","e8ca6379","Trawler","Malvan",37.4,18,16.0630693,73.28125
"257","14.03.18","8ba4e0d2","Trawler","Malvan",37.4,18,16.0630693,73.28125
"258","14.04.18","98b01671","Trawler","Devgad",37.4,27,16.3754203,73.2020833333333
"259","16.03.18","8ba4e0d2","Trawler","Malvan",20.57,18,16.0630693,73.39375
"260","17.03.18","e8ca6379","Trawler","Devgad",37.4,27,16.3754203,73.2020833333333
"261","17.04.18","8ba4e0d2","Trawler","Aachara",28.985,27,16.190837,73.3354166666667
"262","18.04.18","98b01671","Trawler","Malvan",18.7,18,16.0630693,73.4104166666667
"263","20.03.18","98b01671","Trawler","Malvan",23.375,9,16.0630693,73.3895833333333
"264","20.04.18","e8ca6379","Trawler","Malvan",42.075,18,16.0630693,73.2395833333333
"265","21.04.18","8ba4e0d2","Trawler","Malvan",41.14,9,16.0630693,73.2479166666667
"266","23.03.18","98b01671","Trawler","Malvan",36.465,18,16.0630693,73.2979166666667
"267","24.03.18","e8ca6379","Trawler","Devgad",28.985,27,16.3754203,73.2520833333333
"268","25.02.18","8ba4e0d2","Trawler","Malvan",39.27,18,16.0630693,73.26875
"269","26.04.18","98b01671","Trawler","Devbag",30.855,18,16.029932,73.3520833333333
"270","26.04.18","e8ca6379","Trawler","Malvan",29.92,18,16.0630693,73.3395833333333
"271","27.03.18","8ba4e0d2","Trawler","Vengurla",46.75,18,15.8514136,73.28125
"272","27.03.18","98b01671","Trawler","Devbag",28.05,18,16.029932,73.3645833333333
"273","28.03.18","98b01671","Trawler","Malvan",23.375,9,16.0630693,73.3895833333333
"274","28.04.18","e8ca6379","Trawler","Devgad",60.775,18,16.3754203,72.9520833333333
"275","29.03.18","e8ca6379","Trawler","Devgad",37.4,18,16.3754203,73.2020833333333
"276","30.03.18","98b01671","Trawler","Malvan",40.205,18,16.0630693,73.2604166666667
"277","30.03.18","e8ca6379","Trawler","Devbag",23.375,9,16.029932,73.3895833333333
"278","30.04.18","98b01671","Trawler","Malvan - North",28.985,18,16.0630693,73.34375
"279","30.04.18","e8ca6379","Trawler","Malvan",31.79,18,16.0630693,73.3354166666667
